time,height
11.3,-0.40280771255493164
11.33,-0.39937180280685425
11.37,-0.39859911799430847
11.4,-0.398584246635437
11.43,-0.39870429039001465
11.47,-0.3999248445034027
11.5,-0.40008723735809326
11.53,-0.4001721739768982
11.57,-0.4002190828323364
11.6,-0.40056902170181274
11.63,-0.40175774693489075
11.67,-0.4039665758609772
11.7,-0.40720707178115845
11.73,-0.4071832597255707
11.77,-0.4090747535228729
11.8,-0.4130440950393677
11.83,-0.41292712092399597
11.87,-0.41588398814201355
11.9,-0.4176040589809418
11.93,-0.418043315410614
11.97,-0.41753625869750977
12.0,-0.4197039306163788
12.03,-0.422756552696228
12.07,-0.4233129918575287
12.1,-0.42293792963027954
12.13,-0.4228072166442871
12.17,-0.42452824115753174
12.2,-0.4264198839664459
12.23,-0.42884162068367004
12.27,-0.42875298857688904
12.3,-0.4285646677017212
12.33,-0.4290182888507843
12.37,-0.4318888485431671
12.4,-0.43350544571876526
12.43,-0.4419725239276886
12.47,-0.4415641129016876
12.5,-0.4410187304019928
12.53,-0.4408082365989685
12.57,-0.4426163136959076
12.6,-0.44961562752723694
12.63,-0.4490329325199127
12.67,-0.44897931814193726
12.7,-0.4489273726940155
12.73,-0.442506343126297
12.77,-0.44273117184638977
12.8,-0.44272902607917786
12.83,-0.44564682245254517
12.87,-0.4467134177684784
12.9,-0.4469035565853119
12.93,-0.4439191222190857
12.97,-0.4401175379753113
13.0,-0.43997687101364136
13.03,-0.43747785687446594
13.07,-0.436542809009552
13.1,-0.43299630284309387
13.13,-0.4269414246082306
13.17,-0.4271390438079834
13.2,-0.4274776875972748
13.23,-0.4295494556427002
13.27,-0.4297172725200653
13.3,-0.42957621812820435
13.33,-0.4286746680736542
13.37,-0.4284670650959015
13.4,-0.42849257588386536
13.43,-0.4285397231578827
13.47,-0.4286362826824188
13.5,-0.4281751215457916
13.53,-0.42972496151924133
13.57,-0.4302777051925659
13.6,-0.4324954152107239
13.63,-0.43491604924201965
13.67,-0.43650391697883606
13.7,-0.44031843543052673
13.73,-0.4415413439273834
13.77,-0.4421456456184387
13.8,-0.44212716817855835
13.83,-0.4420735836029053
13.87,-0.44200268387794495
13.9,-0.4416928291320801
13.93,-0.44035226106643677
13.97,-0.43852415680885315
14.0,-0.438493549823761
14.03,-0.43818846344947815
14.07,-0.43730032444000244
14.1,-0.43677568435668945
14.13,-0.43692106008529663
14.17,-0.43646806478500366
14.2,-0.43507149815559387
14.23,-0.43498048186302185
14.27,-0.43545642495155334
14.3,-0.43588101863861084
14.33,-0.4405682682991028
14.37,-0.4454725980758667
14.4,-0.4500470459461212
14.43,-0.4547268748283386
14.47,-0.4575146436691284
14.5,-0.4578840732574463
14.53,-0.4630216956138611
14.57,-0.4658128321170807
14.6,-0.46985962986946106
